funding_amount_m,team_size,years_active,market_size_m,num_competitors,revenue_year1_m,burn_rate_m,customer_count,product_score,marketing_spend_m,industry,funding_stage,future_revenue_m,success
1.64,53,2.5,1068.1,23,0.39,0.081,2016,10,0.1,HealthTech,Seed,11.42,0
10.54,80,11.0,1589.0,59,0.9,0.19,1194,10,2.06,SaaS,Series A,18.28,1
4.61,48,5.3,195.4,46,1.34,0.219,1616,9,0.34,BioTech,Series C,13.48,1
3.2,57,4.9,80.5,38,0.43,0.032,2932,4,0.35,CleanTech,Series B,7.37,0
0.59,87,6.5,19.1,14,0.22,0.016,3399,2,0.09,E-Commerce,Series A,4.31,1
0.59,15,1.0,821.7,72,0.2,0.007,952,8,0.1,Cybersecurity,Series A,6.2,0
0.21,91,2.4,747.3,62,0.06,0.008,7263,4,0.04,CleanTech,Series A,8.6,0
7.04,29,9.0,633.0,35,2.69,0.237,560,9,0.59,Cybersecurity,Pre-Seed,18.03,0
3.22,88,1.5,211.1,19,0.2,0.122,3473,4,0.41,EdTech,Series B,5.63,0
4.31,79,7.4,396.6,30,1.33,0.103,2948,8,0.75,Logistics,Series A,14.32,1
0.1,89,3.3,722.1,78,0.02,0.002,2477,9,0.02,Cybersecurity,Series B,10.13,0
12.26,3,5.0,549.4,25,4.5,0.125,59,9,2.4,FinTech,Series A,21.0,0
6.25,110,3.8,3524.1,40,0.9,0.143,1091,10,1.47,Logistics,Series C,21.64,1
0.84,27,4.6,117.4,14,0.26,0.04,1931,4,0.17,Logistics,Series C,2.79,1
0.7,15,8.8,950.3,26,0.25,0.017,547,1,0.12,E-Commerce,Series C,5.36,0
0.71,60,3.9,414.4,22,0.05,0.031,2536,3,0.06,SaaS,Seed,6.45,0
1.27,57,7.0,447.2,48,0.24,0.055,4204,9,0.23,CleanTech,Series A,9.85,1
2.6,116,6.0,1011.5,51,0.82,0.062,7333,4,0.45,Cybersecurity,Seed,12.51,1
1.98,8,8.1,943.3,3,0.41,0.069,118,5,0.34,Cybersecurity,Series B,5.25,0
1.2,4,11.3,3791.5,42,0.17,0.015,189,7,0.18,EdTech,Seed,10.52,1
3.31,112,8.9,109.9,19,0.42,0.042,4274,5,0.52,Logistics,Series B,11.05,1
0.53,24,3.0,87.9,73,0.05,0.005,1554,4,0.06,AI/ML,Series B,3.92,0
1.21,111,0.9,1030.9,28,0.42,0.039,6584,2,0.19,HealthTech,Series B,8.71,0
1.6,108,3.5,690.9,45,0.4,0.042,6132,2,0.14,AI/ML,Seed,8.45,0
2.13,112,7.3,256.3,71,0.16,0.066,3420,4,0.45,Cybersecurity,Series A,8.02,0
5.38,110,1.1,66.2,78,0.99,0.162,7190,10,0.47,AI/ML,Seed,11.2,1
0.78,19,6.2,71.6,63,0.14,0.018,169,10,0.05,E-Commerce,Series A,4.44,1
2.53,39,7.4,1796.9,73,0.29,0.093,661,9,0.35,FinTech,Series A,9.46,0
3.14,100,4.3,170.4,19,0.64,0.125,3017,8,0.57,Cybersecurity,Series B,10.28,0
0.17,116,9.4,312.5,47,0.03,0.002,1248,3,0.02,Cybersecurity,Seed,6.76,0
3.27,16,1.7,205.6,14,0.55,0.055,361,9,0.34,FinTech,Series A,4.7,0
0.65,65,1.4,350.8,38,0.2,0.025,4371,5,0.11,CleanTech,Series C,9.77,0
0.24,90,8.9,57.6,53,0.03,0.006,6850,3,0.03,FinTech,Series A,7.85,0
10.41,102,6.2,585.6,61,2.86,0.374,2840,5,2.46,AI/ML,Series C,16.86,1
11.8,29,8.4,56.0,36,2.95,0.269,720,10,2.77,E-Commerce,Seed,16.37,1
5.78,75,5.5,1289.0,40,1.44,0.142,1949,4,0.87,EdTech,Seed,14.12,0
1.27,40,3.3,213.0,30,0.36,0.019,1033,8,0.15,CleanTech,Seed,8.74,0
0.36,58,9.9,621.2,9,0.09,0.007,446,5,0.07,BioTech,Series A,5.48,1
4.03,18,9.7,1696.7,64,1.44,0.135,1341,10,0.23,EdTech,Pre-Seed,15.15,1
2.03,104,8.5,841.9,33,0.58,0.054,2186,8,0.29,SaaS,Series A,11.55,1
0.46,87,3.6,609.1,52,0.11,0.019,3175,9,0.05,SaaS,Series A,7.78,0
2.39,91,7.3,313.6,14,0.81,0.105,521,4,0.56,SaaS,Series B,10.52,0
0.12,45,4.7,324.0,75,0.03,0.004,3120,7,0.01,SaaS,Series B,7.87,0
8.4,26,1.6,885.7,53,1.28,0.335,1555,2,1.35,E-Commerce,Series A,13.16,0
1.05,18,11.0,4111.6,59,0.13,0.022,1368,6,0.21,EdTech,Series C,11.96,1
3.8,14,2.1,867.4,78,0.39,0.097,890,8,0.56,Logistics,Series B,8.95,0
1.31,85,11.4,652.8,41,0.48,0.05,2424,7,0.09,HealthTech,Series A,9.5,1
2.57,26,5.6,1049.4,68,0.77,0.063,613,7,0.63,CleanTech,Pre-Seed,10.36,1
2.77,69,2.6,500.7,68,1.05,0.091,3955,8,0.43,BioTech,Series C,8.92,0
0.72,11,6.7,49.6,8,0.19,0.012,355,7,0.12,AI/ML,Seed,2.24,1
12.22,68,10.5,661.0,2,2.64,0.407,3227,5,1.19,Cybersecurity,Series A,15.27,1
5.22,106,8.9,2529.0,41,0.37,0.231,579,7,0.77,SaaS,Series A,16.32,1
9.82,110,9.8,154.2,55,2.8,0.437,1060,10,1.33,BioTech,Series C,17.98,1
7.88,19,8.1,937.0,16,2.0,0.303,857,3,0.51,Cybersecurity,Series B,12.15,0
3.19,112,8.5,179.4,62,1.27,0.126,5315,5,0.23,HealthTech,Series B,13.45,1
8.92,101,10.3,614.0,48,1.19,0.282,6197,7,1.94,BioTech,Series B,15.31,1
0.32,112,3.4,81.3,30,0.08,0.01,1668,9,0.03,EdTech,Seed,12.1,0
0.76,87,6.1,478.8,12,0.21,0.011,3783,2,0.07,BioTech,Series C,7.65,0
0.16,35,3.0,1129.0,35,0.04,0.004,685,4,0.02,SaaS,Series C,4.37,0
1.38,112,11.9,341.6,11,0.34,0.037,1342,7,0.28,HealthTech,Series B,12.45,0
1.72,9,11.4,874.7,64,0.55,0.083,322,1,0.11,AI/ML,Series B,3.77,0
